Date,Nifty Financial Services,Nifty IT,India VIX,Nifty Bank,Nifty 50
2020-10-09,11648.4501953125,21837.650390625,20.3799991607666,23846.5234375,11914.2001953125
2020-10-12,11589.900390625,22202.099609375,21.1299991607666,23712.525390625,11930.9501953125
2020-10-13,11480.9501953125,22492.599609375,20.719999313354492,23491.92578125,11934.5
2020-10-14,11686.650390625,22204.05078125,20.209999084472656,23874.373046875,11971.0498046875
2020-10-15,11341.599609375,21567.30078125,22.059999465942383,23072.1328125,11680.349609375
2020-10-16,11512.7998046875,21538.150390625,21.649999618530273,23532.9765625,11762.4501953125
2020-10-19,11803.75,21391.900390625,21.81999969482422,24266.46875,11873.0498046875
2020-10-20,11820.7998046875,21694.349609375,22.690000534057617,24311.517578125,11896.7998046875
2020-10-21,11964.400390625,21577.650390625,22.920000076293945,24634.763671875,11937.650390625
2020-10-22,11921.349609375,21413.5,22.639999389648438,24483.865234375,11896.4501953125
2020-10-23,11947.400390625,21523.599609375,21.829999923706055,24478.015625,11930.349609375
2020-10-26,11827.849609375,21265.69921875,22.829999923706055,24075.169921875,11767.75
2020-10-27,12082.099609375,21023.400390625,22.200000762939453,24769.212890625,11889.400390625
2020-10-28,11802.400390625,20810.30078125,23.280000686645508,24232.21875,11729.599609375
2020-10-29,11710.650390625,20876.94921875,24.020000457763672,24091.720703125,11670.7998046875
2020-10-30,11636.0498046875,20916.849609375,24.75,23900.623046875,11642.400390625
2020-11-02,12089.0498046875,20732.30078125,25.209999084472656,24892.2109375,11669.150390625
2020-11-03,12468.2001953125,20736.0,24.239999771118164,25682.501953125,11813.5
2020-11-04,12458.25,21104.55078125,23.200000762939453,25771.30078125,11908.5
2020-11-05,12659.349609375,21385.650390625,20.969999313354492,26312.79296875,12120.2998046875
2020-11-06,12893.7998046875,21492.30078125,20.5,26798.638671875,12263.5498046875
2020-11-09,13158.25,21820.150390625,20.110000610351562,27533.779296875,12461.0498046875
2020-11-10,13698.599609375,20978.5,21.579999923706055,28605.66796875,12631.099609375
2020-11-11,13889.900390625,21330.5,22.030000686645508,28844.6640625,12749.150390625
2020-11-12,13743.349609375,21363.349609375,20.6200008392334,28278.47265625,12690.7998046875
2020-11-13,13779.75,21436.849609375,19.700000762939453,28465.369140625,12719.9501953125
2020-11-17,14109.349609375,21488.55078125,19.799999237060547,29180.9609375,12874.2001953125
2020-11-18,14301.4501953125,21314.849609375,19.1200008392334,29749.50390625,12938.25
2020-11-19,13973.5,21114.44921875,19.56999969482422,28902.71484375,12771.7001953125
2020-11-20,14210.5,21409.25,19.6200008392334,29235.66015625,12859.0498046875
2020-11-23,14059.099609375,22007.05078125,20.799999237060547,29023.861328125,12926.4501953125
2020-11-24,14275.25,22064.30078125,21.059999465942383,29736.904296875,13055.150390625
2020-11-25,14011.7001953125,21705.900390625,23.1299991607666,29196.060546875,12858.400390625
2020-11-26,14237.650390625,21859.900390625,20.020000457763672,29549.40625,12987.0
2020-11-27,14293.150390625,21764.900390625,19.81999969482422,29608.70703125,12968.9501953125
2020-12-01,14352.0498046875,22170.900390625,20.18000030517578,29817.50390625,13109.0498046875
2020-12-02,14187.5,22319.0,19.90999984741211,29462.80859375,13113.75
2020-12-03,14138.75,22202.19921875,19.0,29448.408203125,13133.900390625
2020-12-04,14286.4501953125,22309.80078125,18.030000686645508,30052.05078125,13258.5498046875
2020-12-07,14360.25,22440.900390625,18.020000457763672,30211.19921875,13355.75
2020-12-08,14384.7001953125,22617.400390625,18.6200008392334,30261.548828125,13392.9501953125
2020-12-09,14554.2998046875,22803.44921875,18.920000076293945,30709.04296875,13529.099609375
2020-12-10,14450.099609375,22755.75,18.709999084472656,30509.994140625,13478.2998046875
2020-12-11,14501.900390625,22664.0,18.790000915527344,30604.494140625,13513.849609375
2020-12-14,14561.5,22746.69921875,19.399999618530273,30745.54296875,13558.150390625
2020-12-15,14673.0,22715.099609375,19.350000381469727,30690.693359375,13567.849609375
